id,principle
48, Knowing how to deal well with your setbacks is as important as knowing how to move forward
49, Identify and don’t tolerate problems
50, View painful problems as potential improvements that are screaming at you
51, Don’t avoid confronting problems because they are rooted in harsh realities that are unpleasant to look at
52, Be specific in identifying your problems
53, Don’t mistake a cause of a problem with the real problem
54, Distinguish big problems from small ones
55," Once you identify a problem, don’t tolerate it"
56, Diagnose problems to get at their root causes
57, Focus on the “what is” before deciding “what to do about it.
58, Distinguish proximate causes from root causes
59, Recognize that knowing what someone (including you) is like will tell you what you can expect from them
60, Design a plan
61, Go back before you go forward
62, Think about your problem as a set of outcomes produced by a machine
63, Remember that there are typically many paths to achieving your goals
64, Think of your plan as being like a movie script in that you visualize who will do what through time
65, Write down your plan for everyone to see and to measure your progress against
66, Recognize that it doesn’t take a lot of time to design a good plan
67, Push through to completion
68, Great planners who don’t execute their plans go nowhere
69, Good work habits are vastly underrated
70, Establish clear metrics to make certain that you are following your plan
71, Remember that weaknesses don’t matter if you find solutions
72, Look at the patterns of your mistakes and identify at which step in the 5-Step Process you typically fail
73, Everyone has at least one big thing that stands in the way of their success; find yours and deal with it
74, Understand your own and others’ mental maps and humility
75, Be Radically Open-Minde
76, Recognize your two barriers
77,#VALUE!
78,#VALUE!
79,#VALUE!
80, Practice radical open-mindedness
81, Sincerely believe that you might not know the best possible path and recognize that your ability to deal well with “not knowing” is more important than whatever it is you do know
82," Recognize that decision making is a two-step process: First take in all the relevant information, then decide"
83, Don’t worry about looking good; worry about achieving your goal
84, Realize that you can’t put out without taking in
85," Recognize that to gain the perspective that comes from seeing things through another’s eyes, you must suspend judgment for a time—only by empathizing can you properly evaluate another point of view"
86," Remember that you’re looking for the best answer, not simply the best answer that you can come up with yourself"
87," Be clear on whether you are arguing or seeking to understand, and think about which is most appropriate based on your and others’ believability"
88,  Appreciate the art of thoughtful disagreement
89, Triangulate your view with believable people who are willing to disagree
90, Plan for the worst-case scenario to make it as good as possible
91, Recognize the signs of closed-mindedness and open-mindedness that you should watch out for
92, Understand how you can become radically open-minded
93, Regularly use pain as your guide toward quality reflection
94, Make being open-minded a habit
95, Get to know your blind spots
96," If a number of different believable people say you are doing something wrong and you are the only one who doesn’t see it that way, assume that you are probably biased"
97, Meditate
98, Be evidence-based and encourage others to be the same
99, Do everything in your power to help others also be open-minded
100, Use evidence-based decision-making tools
101, Know when it’s best to stop fighting and have faith in your decision-making process
102, Understand That People Are Wired Very Differentl
103, Understand the power that comes from knowing how you and others are wired
104," We are born with attributes that can both help us and hurt us, depending on their application"
105, Meaningful work and meaningful relationships aren’t just nice things we chose for ourselves—they are genetically programmed into us
106, Understand the great brain battles and how to control them to get what “you” want
107, Realize that the conscious mind is in a battle with the subconscious mind
108, Know that the most constant struggle is between feeling and thinking
109, Reconcile your feelings and your thinking
110, Choose your habits well
111, Train your “lower-level you” with kindness and persistence to build the right habits
112, Understand the differences between right-brained and left-brained thinking
113, Understand how much the brain can and cannot change
114, Find out what you and others are like
115, Introversion vs. extroversion
116, Intuiting vs. sensing
117, Thinking vs. feeling
118, Planning vs. perceiving
119, Creators vs. refiners vs. advancers vs. executors vs. flexors
120, Focusing on tasks vs. focusing on goals
121, Workplace Personality Inventory
122, Shapers are people who can go from visualization to actualization
123, Getting the right people in the right roles in support of your goal is the key to succeeding at whatever you choose to accomplish
124, Manage yourself and orchestrate others to get what you want
125, Learn How to Make Decisions Effectivel
126," Recognize that 1) the biggest threat to good decision making is harmful emotions, and 2) decision making is a two-step process (first learning and then deciding)"
127, Synthesize the situation at hand
128, One of the most important decisions you can make is who you ask questions of
129, Don’t believe everything you hear
130, Everything looks bigger up close
131, New is overvalued relative to great
132, Don’t oversqueeze dots
133, Synthesize the situation through time
134," Keep in mind both the rates of change and the levels of things, and the relationships between them"
135, Be imprecise
136, Remember the 80/20 Rule and know what the key 20 percent is
137, Be an imperfectionist
138, Navigate levels effectively
139, Use the terms “above the line” and “below the line” to establish which level a conversation is on
140," Remember that decisions need to be made at the appropriate level, but they should also be consistent across levels"
141," Logic, reason, and common sense are your best tools for synthesizing reality and understanding what to do about it"
142, Make your decisions as expected value calculations
143, Raising the probability of being right is valuable no matter what your probability of being right already is
144, Knowing when not to bet is as important as knowing what bets are probably worth making
145," The best choices are the ones that have more pros than cons, not those that don’t have any cons at all"
146, Prioritize by weighing the value of additional information against the cost of not deciding
147, All of your “must-dos” must be above the bar before you do your “like-to-dos.
148," Chances are you won’t have time to deal with the unimportant things, which is better than not having time to deal with the important things"
149, Don’t mistake possibilities for probabilities
150, Simplify
151, Use principles
152, Believability weight your decision making
153, Convert your principles into algorithms and have the computer make decisions alongside you
154, Be cautious about trusting AI without having deep understanding
155, An organization is a machine consisting of two major parts: culture and people
156, A great organization has both great people and a great culture
157, Great people have both great character and great capabilities
158," Great cultures bring problems and disagreements to the surface and solve them well, and they love imagining and building great things that haven’t been built before"
159, Tough love is effective for achieving both great work and great relationships
160," In order to be great, one can’t compromise the uncompromisable"
161, A believability-weighted idea meritocracy is the best system for making effective decisions
162, Make your passion and your work one and the same and do it with people you want to be with
163,An organization is a machine consisting of two major parts: culture and people.
164,A great organization has both great people and a great culture.
165,Great people have both great character and great capabilities.
166,"Great cultures bring problems and disagreements to the surface and solve them well, and they love imagining and building great things that haven’t been built before."
167,Tough love is effective for achieving both great work and great relationships.
168,"In order to be great, one can’t compromise the uncompromisable."
169,A believability-weighted idea meritocracy is the best system for making effective decisions.
170,Make your passion and your work one and the same and do it with people you want to be with.
171, Trust in Radical Truth and Radical Transparenc
172, Realize that you have nothing to fear from knowing the truth
173, Have integrity and demand it from others
174, Never say anything about someone that you wouldn’t say to them directly and don’t try people without accusing them to their faces
175, Don’t let loyalty to people stand in the way of truth and the well-being of the organization
176, Create an environment in which everyone has the right to understand what makes sense and no one has the right to hold a critical opinion without speaking up
177," Speak up, own it, or get out"
178, Be extremely open
179, Don’t be naive about dishonesty
180, Be radically transparent
181, Use transparency to help enforce justice
182, Share the things that are hardest to share
183, Keep exceptions to radical transparency very rare
184, Make sure those who are given radical transparency recognize their responsibilities to handle it well and to weigh things intelligently
185, Provide transparency to people who handle it well and either deny it to people who don’t handle it well or remove those people from the organization
186, Don’t share sensitive information with the organization’s enemies
187," Meaningful relationships and meaningful work are mutually reinforcing, especially when supported by radical truth and radical transparency"
188, Cultivate Meaningful Work and Meaningful Relationship
189, Be loyal to the common mission and not to anyone who is not operating consistently with it
190, Be crystal clear on what the deal is
191, Make sure people give more consideration to others than they demand for themselves
192, Make sure that people understand the difference between fairness and generosity
193, Know where the line is and be on the far side of fair
194, Pay for work
195, Recognize that the size of the organization can pose a threat to meaningful relationships
196, Remember that most people will pretend to operate in your interest while operating in their own
197, Treasure honorable people who are capable and will treat you well even when you’re not looking
198, Create a Culture in Which It Is Okay to Make Mistakes and Unacceptable Not to Learn from The
199, Recognize that mistakes are a natural part of the evolutionary process
200, Fail well
201, Don’t feel bad about your mistakes or those of others. Love them
202, Don’t worry about looking good—worry about achieving your goals
203, Get over “blame” and “credit” and get on with “accurate” and “inaccurate.
204, Observe the patterns of mistakes to see if they are products of weaknesses
205, Remember to reflect when you experience pain
206, Be self-reflective and make sure your people are self-reflective
207, Know that nobody can see themselves objectively
208, Teach and reinforce the merits of mistake-based learning
209," Know what types of mistakes are acceptable and what types are unacceptable, and don’t allow the people who work for you to make the unacceptable ones"
210, Get and Stay in Syn
211, Recognize that conflicts are essential for great relationships because they are how people determine whether their principles are aligned and resolve their differences
212," Spend lavishly on the time and energy you devote to getting in sync, because it’s the best investment you can make"
213, Know how to get in sync and disagree well
214, Surface areas of possible out-of-syncness
215, Distinguish between idle complaints and complaints meant to lead to improvement
216, Remember that every story has another side
217, Be open-minded and assertive at the same time
218, Distinguish open-minded people from closed-minded people
219, Don’t have anything to do with closed-minded people
220, Watch out for people who think it’s embarrassing not to know
221, Make sure that those in charge are open-minded about the questions and comments of others
222, Recognize that getting in sync is a two-way responsibility
223, Worry more about substance than style
224, Be reasonable and expect others to be reasonable
225," Making suggestions and questioning are not the same as criticizing, so don’t treat them as if they are"
226," If it is your meeting to run, manage the conversation"
227, Make it clear who is directing the meeting and whom it is meant to serve
228, Be precise in what you’re talking about to avoid confusion
229, Make clear what type of communication you are going to have in light of the objectives and priorities
230, Lead the discussion by being assertive and open-minded
231, Navigate between the different levels of the conversation
232, Watch out for “topic slip.
233, Enforce the logic of conversations
234, Be careful not to lose personal responsibility via group decision making
235, Utilize the “two-minute rule” to avoid persistent interruptions
236, Watch out for assertive “fast talkers.
237, Achieve completion in conversations
238, Leverage your communication
239, Great collaboration feels like playing jazz
240, 1+1=3
241, 3 to 5 is more than 20
242," When you have alignment, cherish it"
243, If you find you can’t reconcile major differences—especially in values—consider whether the relationship is worth preserving
244, Believability Weight Your Decision Makin
245, Recognize that having an effective idea meritocracy requires that you understand the merit of each person’s ideas
246," If you can’t successfully do something, don’t think you can tell others how it should be done"
247, Remember that everyone has opinions and they are often bad
248, Find the most believable people possible who disagree with you and try to understand their reasoning
249, Think about people’s believability in order to assess the likelihood that their opinions are good
250," Remember that believable opinions are most likely to come from people 1) who have successfully accomplished the thing in question at least three times, and 2) who have great explanations of the cause-effect relationships that lead them to their conclusions"
251," If someone hasn’t done something but has a theory that seems logical and can be stress-tested, then by all means test it"
252, Don’t pay as much attention to people’s conclusions as to the reasoning that led them to their conclusions
253," Inexperienced people can have great ideas too, sometimes far better ones than more experienced people"
254, Everyone should be up-front in expressing how confident they are in their thoughts
255," Think about whether you are playing the role of a teacher, a student, or a peer and whether you should be teaching, asking questions, or debating"
256," It’s more important that the student understand the teacher than that the teacher understand the student, though both are important"
257," Recognize that while everyone has the right and responsibility to try to make sense of important things, they must do so with humility and radical open-mindedness"
258, Understand how people came by their opinions
259," If you ask someone a question, they will probably give you an answer, so think through to whom you should address your questions"
260, Having everyone randomly probe everyone else is an unproductive waste of time
261, Beware of statements that begin with “I think that . . .
262, Assess believability by systematically capturing people’s track records over time
263, Disagreeing must be done efficiently
264, Know when to stop debating and move on to agreeing about what should be done
265, Use believability weighting as a tool rather than a substitute for decision making by Responsible Parties
266," Since you don’t have the time to thoroughly examine everyone’s thinking yourself, choose your believable people wisely"
267," When you’re responsible for a decision, compare the believability-weighted decision making of the crowd to what you believe"
268, Recognize that everyone has the right and responsibility to try to make sense of important things
269, Communications aimed at getting the best answer should involve the most relevant people
270, Communication aimed at educating or boosting cohesion should involve a broader set of people than would be needed if the aim were just getting the best answer
271, Recognize that you don’t need to make judgments about everything
272, Pay more attention to whether the decision-making system is fair than whether you get your way
273, Recognize How to Get Beyond Disagreement
274, Remember: Principles can’t be ignored by mutual agreement
275, The same standards of behavior apply to everyone
276," Make sure people don’t confuse the right to complain, give advice, and openly debate with the right to make decisions"
277," When challenging a decision and/or a decision maker, consider the broader context"
278, Don’t leave important conflicts unresolved
279, Don’t let the little things divide you when your agreement on the big things should bind you
280, Don’t get stuck in disagreement—escalate or vote
281," Once a decision is made, everyone should get behind it even though individuals may still disagree"
282, See things from the higher level
283, Never allow the idea meritocracy to slip into anarchy
284, Don’t allow lynch mobs or mob rule
285," Remember that if the idea meritocracy comes into conflict with the well-being of the organization, it will inevitably suffer"
286, Declare “martial law” only in rare or extreme circumstances when the principles need to be suspended
287, Be wary of people who argue for the suspension of the idea meritocracy for the “good of the organization.
288," Recognize that if the people who have the power don’t want to operate by principles, the principled way of operating will fail"
289, . . 
290, Remember That the WHO Is More Important than the WHA
291, Recognize that the most important decision for you to make is who you choose as your Responsible Parties
292," Understand that the most important RPs are those responsible for the goals, outcomes, and machines at the highest levels"
293, Know that the ultimate Responsible Party will be the person who bears the consequences of what is done
294, Make sure that everyone has someone they report to
295, Remember the force behind the thing
296," Hire Right, Because the Penalties for Hiring Wrong Are Hug"
297, Match the person to the design
298," Think through which values, abilities, and skills you are looking for (in that order)"
299, Make finding the right people systematic and scientific
300, Hear the click: Find the right fit between the role and the person
301," Look for people who sparkle, not just “any ol’ one of those."
302, Don’t use your pull to get someone a job
303, Remember that people are built very differently and that different ways of seeing and thinking make people suitable for different jobs
304, Understand how to use and interpret personality assessments
305," Remember that people tend to pick people like themselves, so choose interviewers who can identify what you are looking for"
306, Look for people who are willing to look at themselves objectively
307, Remember that people typically don’t change all that much
308," Think of your teams the way that sports managers do: No one person possesses everything required to produce success, yet everyone must excel"
309, Pay attention to people’s track records
310, Check references
311, Recognize that performance in school doesn’t tell you much about whether a person has the values and abilities you are looking for
312," While it’s best to have great conceptual thinkers, understand that great experience and a great track record also count for a lot"
313, Beware of the impractical idealist
314, Don’t assume that a person who has been successful elsewhere will be successful in the job you’re giving them
315, Make sure your people have character and are capable
316, Don’t hire people just to fit the first job they will do; hire people you want to share your life with
317, Look for people who have lots of great questions
318, Show candidates your warts
319, Play jazz with people with whom you are compatible but who will also challenge you
320," When considering compensation, provide both stability and opportunity"
321," Pay for the person, not the job"
322, Have performance metrics tied at least loosely to compensation
323, Pay north of fair
324, Focus more on making the pie bigger than on exactly how to slice it so that you or anyone else gets the biggest piece
325," Remember that in great partnerships, consideration and generosity are more important than money"
326, Be generous and expect generosity from others
327, Great people are hard to find so make sure you think about how to keep them
328," Constantly Train, Test, Evaluate, and Sort People"
329, Understand that you and the people you manage will go through a process of personal evolution
330," Recognize that personal evolution should be relatively rapid and a natural consequence of discovering one’s strengths and weaknesses; as a result, career paths are not planned at the outset"
331, Understand that training guides the process of personal evolution
332," Teach your people to fish rather than give them fish, even if that means letting them make some mistakes"
333, Recognize that experience creates internalized learning that book learning can’t replace
334, Provide constant feedback
335," Evaluate accurately, not kindly"
336," In the end, accuracy and kindness are the same thing"
337, Put your compliments and criticisms in perspective
338," Think about accuracy, not implications"
339, Make accurate assessments
340, Learn from success as well as from failure
341," Know that most everyone thinks that what they did, and what they are doing, is much more important than it really is"
342, Recognize that tough love is both the hardest and the most important type of love to give (because it is so rarely welcomed)
343," Recognize that while most people prefer compliments, accurate criticism is more valuable"
344, Don’t hide your observations about people
345, Build your synthesis from the specifics up
346, Squeeze the dots
347, Don’t oversqueeze a dot
348," Use evaluation tools such as performance surveys, metrics, and formal reviews to document all aspects of a person’s performance"
349," Make the process of learning what someone is like open, evolutionary, and iterative"
350, Make your metrics clear and impartial
351, Encourage people to be objectively reflective about their performance
352, Look at the whole picture
353," For performance reviews, start from specific cases, look for patterns, and get in sync with the person being reviewed by looking at the evidence together"
354," Remember that when it comes to assessing people, the two biggest mistakes you can make are being overconfident in your assessment and failing to get in sync on it"
355, Get in sync on assessments in a nonhierarchical way
356, Learn about your people and have them learn about you through frank conversations about mistakes and their root causes
357, Understand that making sure people are doing a good job doesn’t require watching everything that everybody is doing at all times
358, Recognize that change is difficult
359, Help people through the pain that comes with exploring their weaknesses
360, Knowing how people operate and being able to judge whether that way of operating will lead to good results is more important than knowing what they did
361," If someone is doing their job poorly, consider whether it is due to inadequate learning or inadequate ability"
362, Training and testing a poor performer to see if he or she can acquire the required skills without simultaneously trying to assess their abilities is a common mistake
363," Recognize that when you are really in sync with someone about their weaknesses, the weaknesses are probably true"
364," When judging people, remember that you don’t have to get to the point of “beyond a shadow of a doubt."
365, It should take you no more than a year to learn what a person is like and whether they are a click for their job
366, Continue assessing people throughout their tenure
367, Evaluate employees with the same rigor as you evaluate job candidates
368," Train, guardrail, or remove people; don’t rehabilitate them"
369, Don’t collect people
370, Be willing to “shoot the people you love.
371," When someone is “without a box,” consider whether there is an open box that would be a better fit or whether you need to get them out of the company"
372, Be cautious about allowing people to step back to another role after failing
373," Remember that the goal of a transfer is the best, highest use of the person in a way that benefits the community as a whole"
374, Have people “complete their swings” before moving on to new roles
375, Don’t lower the bar
376, Manage as Someone Operating a Machine to Achieve a Goa
377, Look down on your machine and yourself within it from the higher level
378, Constantly compare your outcomes to your goals
379, Understand that a great manager is essentially an organizational engineer
380, Build great metrics
381, Beware of paying too much attention to what is coming at you and not enough attention to your machine
382, Don’t get distracted by shiny objects
383," Remember that for every case you deal with, your approach should have two purposes: 1) to move you closer to your goal, and 2) to train and test your machine (i.e., your people and your design)"
384, Everything is a case study
385," When a problem occurs, conduct the discussion at two levels: 1) the machine level (why that outcome was produced) and 2) the case-at-hand level (what to do about it)"
386," When making rules, explain the principles behind them"
387, Your policies should be natural extensions of your principles
388," While good principles and policies almost always provide good guidance, remember that there are exceptions to every rule"
389," Understand the differences between managing, micromanaging, and not managing"
390, Managers must make sure that what they are responsible for works well
391, Managing the people who report to you should feel like skiing together
392, An excellent skier is probably going to be a better ski coach than a novice skier
393, You should be able to delegate the details
394," Know what your people are like and what makes them tick, because your people are your most important resource"
395, Regularly take the temperature of each person who is important to you and to the organization
396, Learn how much confidence to have in your people—don’t assume it
397, Vary your involvement based on your confidence
398, Clearly assign responsibilities
399, Remember who has what responsibilities
400, Watch out for “job slip.
401, Probe deep and hard to learn what you can expect from your machine
402, Get a threshold level of understanding
403, Avoid staying too distant
404, Use daily updates as a tool for staying on top of what your people are doing and thinking
405, Probe so you know whether problems are likely to occur before they actually do
406, Probe to the level below the people who report to you
407, Have the people who report to the people who report to you feel free to escalate their problems to you
408, Don’t assume that people’s answers are correct
409, Train your ear
410, Make your probing transparent rather than private
411, Welcome probing
412, Remember that people who see things and think one way often have difficulty communicating with and relating to people who see things and think another way
413, Pull all suspicious threads
414, Recognize that there are many ways to skin a cat
415," Think like an owner, and expect the people you work with to do the same"
416, Going on vacation doesn’t mean one can neglect one’s responsibilities
417, Force yourself and the people who work for you to do difficult things
418, Recognize and deal with key-man risk
419, Don’t treat everyone the same—treat them appropriately
420, Don’t let yourself get squeezed
421, Care about the people who work for you
422, Know that great leadership is generally not what it’s made out to be
423, Be weak and strong at the same time
424, Don’t worry about whether or not your people like you and don’t look to them to tell you what you should do
425, Don’t give orders and try to be followed; try to be understood and to understand others by getting in sync
426, Hold yourself and your people accountable and appreciate them for holding you accountable
427," If you’ve agreed with someone that something is supposed to go a certain way, make sure it goes that way—unless you get in sync about doing it differently"
428, Distinguish between a failure in which someone broke their “contract” and a failure in which there was no contract to begin with
429, Avoid getting sucked down
430," Watch out for people who confuse goals and tasks, because if they can’t make that distinction, you can’t trust them with responsibilities"
431, Watch out for the unfocused and unproductive “theoretical should.
432, Communicate the plan clearly and have clear metrics conveying whether you are progressing according to it
433, Put things in perspective by going back before going forward
434, Escalate when you can’t adequately handle your responsibilities and make sure that the people who work for you are proactive about doing the same
435, Perceive and Don’t Tolerate Problem
436," If you’re not worried, you need to worry—and if you’re worried, you don’t need to worry"
437," Design and oversee a machine to perceive whether things are good enough or not good enough, or do it yourself"
438," Assign people the job of perceiving problems, give them time to investigate, and make sure they have independent reporting lines so that they can convey problems without any fear of recrimination"
439, Watch out for the “Frog in the Boiling Water Syndrome.
440, Beware of group-think: The fact that no one seems concerned doesn’t mean nothing is wrong
441," To perceive problems, compare how the outcomes are lining up with your goals"
442, “Taste the soup.
443, Have as many eyes looking for problems as possible
444, “Pop the cork.
445, Realize that the people closest to certain jobs probably know them best
446, Be very specific about problems; don’t start with generalizations
447," Avoid the anonymous “we” and “they,” because they mask personal responsibility"
448, Don’t be afraid to fix the difficult things
449," Understand that problems with good, planned solutions in place are completely different from those without such solutions"
450, Think of the problems you perceive in a machinelike way
451, Diagnose Problems to Get at Their Root Cause
452," To diagnose well, ask the following questions: 1. Is the outcome good or bad? 2. Who is responsible for the outcome? 3. If the outcome is bad, is the Responsible Party incapable and/or is the design bad"
453, Ask yourself: “Who should do what differently?
454, Identify at which step in the 5-Step Process the failure occurred
455, Identify the principles that were violated
456, Avoid Monday morning quarterbacking
457, Don’t confuse the quality of someone’s circumstances with the quality of their approach to dealing with the circumstances
458, Identifying the fact that someone else doesn’t know what to do doesn’t mean that you know what to do
459, Remember that a root cause is not an action but a reason
460," To distinguish between a capacity issue and a capability issue, imagine how the person would perform at that particular function if they had ample capacity"
461, Keep in mind that managers usually fail or fall short of their goals for one (or more) of five reasons
462, Maintain an emerging synthesis by diagnosing continuously
463, Keep in mind that diagnoses should produce outcomes
464," Remember that if you have the same people doing the same things, you should expect the same results"
465, Use the following “drill-down” technique to gain an 80/20 understanding of a department or sub-department that is having problems
466, Understand that diagnosis is foundational to both progress and quality relationships
467, Design Improvements to Your Machine to Get Around Your Problem
468, Build your machine
469, Systemize your principles and how they will be implemented
470, Create great decision-making machines by thinking through the criteria you are using to make decisions while you are making them
471, Remember that a good plan should resemble a movie script
472, Put yourself in the position of pain for a while so that you gain a richer understanding of what you’re designing for
473," Visualize alternative machines and their outcomes, and then choose"
474," Consider second- and third-order consequences, not just first-order ones"
475, Use standing meetings to help your organization run like a Swiss clock
476, Remember that a good machine takes into account the fact that people are imperfect
477, Recognize that design is an iterative process. Between a bad “now” and a good “then” is a “working through it” period
478, Understand the power of the “cleansing storm.
479, Build the organization around goals rather than tasks
480, Build your organization from the top down
481, Remember that everyone must be overseen by a believable person who has high standards
482, Make sure the people at the top of each pyramid have the skills and focus to manage their direct reports and a deep understanding of their jobs
483," In designing your organization, remember that the 5-Step Process is the path to success and that different people are good at different steps"
484, Don’t build the organization to fit the people
485, Keep scale in mind
486, Organize departments and sub-departments around the most logical groupings based on “gravitational pull.
487, Make departments as self-sufficient as possible so that they have control over the resources they need to achieve their goals
488, Ensure that the ratios of senior managers to junior managers and of junior managers to their reports are limited to preserve quality communication and mutual understanding
489, Consider succession and training in your design
490, Don’t just pay attention to your job; pay attention to how your job will be done if you are no longer around
491, Use “double-do” rather than “double-check” to make sure mission-critical tasks are done correctly
492, Use consultants wisely and watch out for consultant addiction
493," Create an organizational chart to look like a pyramid, with straight lines down that don’t cross"
494, Involve the person who is the point of the pyramid when encountering cross-departmental or cross-sub-departmental issues
495, Don’t do work for people in another department or grab people from another department to do work for you unless you speak to the person responsible for overseeing the other department
496, Watch out for “department slip.
497, Create guardrails when needed—and remember it’s better not to guardrail at all
498, Don’t expect people to recognize and compensate for their own blind spots
499, Consider the clover-leaf design
500, Keep your strategic vision the same while making appropriate tactical changes as circumstances dictate
501, Don’t put the expedient ahead of the strategic
502," Think about both the big picture and the granular details, and understand the connections between them"
503, Have good controls so that you are not exposed to the dishonesty of others
504, Investigate and let people know you are going to investigate
505, Remember that there is no sense in having laws unless you have policemen (auditors)
506, Beware of rubber-stamping
507, Recognize that people who make purchases on your behalf probably will not spend your money wisely
508, Use “public hangings” to deter bad behavior
509, Have the clearest possible reporting lines and delineations of responsibilities
510," Assign responsibilities based on workflow design and people’s abilities, not job titles"
511, Constantly think about how to produce leverage
512, Recognize that it is far better to find a few smart people and give them the best technology than to have a greater number of ordinary people who are less well equipped
513, Use leveragers
514, Remember that almost everything will take more time and cost more money than you expect
515, Do What You Set Out to D
516, Work for goals that you and your organization are excited about and think about how your tasks connect to those goals
517, Be coordinated and consistent in motivating others
518, Don’t act before thinking. Take the time to come up with a game plan
519," Look for creative, cut-through solutions"
520, Recognize that everyone has too much to do
521, Don’t get frustrated
522, Use checklists
523, Don’t confuse checklists with personal responsibility
524, Allow time for rest and renovation
525, Ring the bell
526, Use Tools and Protocols to Shape How Work Is Don
527, Having systemized principles embedded in tools is especially valuable for an idea meritocracy
528," To produce real behavioral change, understand that there must be internalized or habitualized learning"
529, Use tools to collect data and process it into conclusions and actions
530, Foster an environment of confidence and fairness by having clearly-stated principles that are implemented in tools and protocols so that the conclusions reached can be assessed by tracking the logic and data behind them
531," And for Heaven’s Sake, Don’t Overlook Governance"
532," To be successful, all organizations must have checks and balances"
533," Even in an idea meritocracy, merit cannot be the only determining factor in assigning responsibility and authority"
534, Make sure that no one is more powerful than the system or so important that they are irreplaceable
535, Beware of fiefdoms
536, Make clear that the organization’s structure and rules are designed to ensure that its checks-and-balances system functions well
537, Make sure reporting lines are clear
538, Make sure decision rights are clear
539," Make sure that the people doing the assessing 1) have the time to be fully informed about how the person they are checking on is doing, 2) have the ability to make the assessments, and 3) are not in a conflict of interest that stands in the way of carrying out oversight effectively"
540, Recognize that decision makers must have access to the information necessary to make decisions and must be trustworthy enough to handle that information safely
541, Remember that in an idea meritocracy a single CEO is not as good as a great group of leaders
542," No governance system of principles, rules, and checks and balances can substitute for a great partnership"
543,Think about what you want out of life and make your work a path to getting it
544,Recognize when to ride the wave
545,"If your best solution isn't good enough, think harder or escalate that you can't produce a solution that is good enough"
